,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
90,Libya,507266.0,6437.0,500829.0,0.0,,72047.0,914.0,2483848.0,352782.0,7040745.0
91,China,503302.0,5272.0,379053.0,118977.0,,347.0,4.0,160000000.0,110461.0,1448471400.0
92,Ethiopia,500946.0,7574.0,488159.0,5213.0,,4146.0,63.0,5559843.0,46020.0,120812698.0
93,Réunion,486588.0,921.0,418572.0,67095.0,10.0,535854.0,1014.0,1603660.0,1766027.0,908061.0
94,Honduras,472619.0,11116.0,,,105.0,46239.0,1088.0,1660662.0,162472.0,10221247.0
95,Armenia,449263.0,8751.0,435162.0,5350.0,,151167.0,2945.0,3242901.0,1091164.0,2971966.0
96,Bosnia and Herzegovina,403052.0,16352.0,379084.0,7616.0,,124042.0,5032.0,1884721.0,580036.0,3249317.0
97,Oman,399449.0,4628.0,384669.0,10152.0,2.0,75028.0,869.0,25000000.0,4695724.0,5323993.0
98,Zambia,349287.0,4069.0,341316.0,3902.0,,17940.0,209.0,4112961.0,211244.0,19470234.0
99,North Macedonia,348335.0,9677.0,337068.0,1590.0,,167364.0,4649.0,2226216.0,1069626.0,2081304.0
100,Kenya,343915.0,5689.0,337309.0,917.0,1.0,6118.0,101.0,3967062.0,70569.0,56215221.0
101,Albania,334726.0,3602.0,329428.0,1696.0,,116777.0,1257.0,1941032.0,677173.0,2866374.0
102,Botswana,330155.0,2801.0,327049.0,305.0,1.0,135245.0,1147.0,2026898.0,830300.0,2441162.0
103,Luxembourg,319959.0,1232.0,316690.0,2037.0,,498091.0,1918.0,4587145.0,7140959.0,642371.0
104,Brunei ,309561.0,225.0,243601.0,65735.0,3.0,694970.0,505.0,717784.0,1611437.0,445431.0
105,Montenegro,291970.0,2828.0,288662.0,480.0,6.0,464957.0,4504.0,2763792.0,4401293.0,627950.0
106,Algeria,271852.0,6881.0,183061.0,81910.0,,5995.0,152.0,230960.0,5093.0,45350148.0
107,Nigeria,266675.0,3155.0,259953.0,3567.0,11.0,1230.0,15.0,5708974.0,26339.0,216746934.0
108,Zimbabwe,265666.0,5711.0,258888.0,1067.0,12.0,17328.0,373.0,2525756.0,164744.0,15331428.0
109,Uzbekistan,253662.0,1637.0,241486.0,10539.0,23.0,7378.0,48.0,1377915.0,40077.0,34382084.0
110,Mozambique,233417.0,2243.0,228805.0,2369.0,11.0,7054.0,68.0,1371127.0,41437.0,33089461.0
111,Martinique,230354.0,1102.0,,,12.0,615777.0,2946.0,828928.0,2215870.0,374087.0
112,Afghanistan,224147.0,7939.0,204056.0,12152.0,45.0,5500.0,195.0,1283354.0,31490.0,40754388.0
113,Laos,218735.0,758.0,,,,29239.0,101.0,1233207.0,164845.0,7481023.0
114,Iceland,209191.0,229.0,,,2.0,605661.0,663.0,1996384.0,5780036.0,345393.0
115,Kyrgyzstan,206897.0,2991.0,196406.0,7500.0,131.0,30750.0,445.0,1907195.0,283460.0,6728271.0
116,Guadeloupe,203235.0,1021.0,,,19.0,508349.0,2554.0,938039.0,2346306.0,399794.0
117,El Salvador,201785.0,4230.0,179410.0,18145.0,8.0,30805.0,646.0,2610114.0,398467.0,6550389.0
118,Trinidad and Tobago,191496.0,4390.0,187078.0,28.0,8.0,136143.0,3121.0,913289.0,649295.0,1406585.0
119,Maldives,186687.0,316.0,163687.0,22684.0,25.0,345087.0,584.0,2213831.0,4092223.0,540985.0
120,Namibia,171998.0,4098.0,167099.0,801.0,,65302.0,1556.0,1062663.0,403460.0,2633874.0
121,Ghana,171740.0,1462.0,170255.0,23.0,2.0,5301.0,45.0,2538052.0,78346.0,32395450.0
122,Uganda,171729.0,3632.0,100431.0,67666.0,3.0,3546.0,75.0,3012408.0,62198.0,48432863.0
123,Jamaica,155455.0,3586.0,103032.0,48837.0,,52077.0,1201.0,1183986.0,396633.0,2985094.0
124,Cambodia,138937.0,3056.0,135881.0,0.0,,8092.0,178.0,3091420.0,180062.0,17168639.0
125,Rwanda,133194.0,1468.0,131647.0,79.0,,9793.0,108.0,6021981.0,442778.0,13600464.0
126,Cameroon,125090.0,1974.0,122807.0,309.0,13.0,4482.0,71.0,1751774.0,62762.0,27911548.0
127,Malta,119299.0,851.0,117857.0,591.0,4.0,268671.0,1917.0,2144649.0,4829932.0,444033.0
128,Barbados,109503.0,620.0,108647.0,236.0,,380188.0,2153.0,801451.0,2782594.0,288023.0
129,Angola,105384.0,1934.0,103419.0,31.0,,3009.0,55.0,1499795.0,42818.0,35027343.0
130,Channel Islands,101717.0,228.0,101321.0,168.0,,576421.0,1292.0,1252808.0,7099551.0,176463.0
131,French Guiana,98041.0,420.0,11254.0,86367.0,6.0,312065.0,1337.0,651257.0,2072951.0,314169.0
132,DRC,97697.0,1468.0,84489.0,11740.0,,1026.0,15.0,846704.0,8890.0,95240792.0
133,Senegal,89011.0,1971.0,87024.0,16.0,,5042.0,112.0,1146543.0,64946.0,17653671.0
134,Malawi,88825.0,2686.0,85651.0,488.0,67.0,4401.0,133.0,624784.0,30959.0,20180839.0
135,Ivory Coast,88338.0,835.0,87497.0,6.0,,3184.0,30.0,1690934.0,60951.0,27742298.0
136,Suriname,82588.0,1408.0,,,,138378.0,2359.0,242207.0,405822.0,596831.0
137,New Caledonia,79922.0,314.0,79605.0,3.0,9.0,274726.0,1079.0,98964.0,340182.0,290915.0
138,French Polynesia,78616.0,649.0,,,7.0,276657.0,2284.0,,,284164.0
139,Eswatini,74882.0,1427.0,73116.0,339.0,,63201.0,1204.0,1048704.0,885119.0,1184817.0
140,Guyana,73385.0,1299.0,72013.0,73.0,,92419.0,1636.0,733218.0,923396.0,794045.0
141,Belize,70782.0,688.0,70085.0,9.0,6.0,171722.0,1669.0,576016.0,1397453.0,412190.0
142,Fiji,69117.0,885.0,67226.0,1006.0,,75997.0,973.0,672883.0,739866.0,909466.0
143,Madagascar,68289.0,1425.0,66862.0,2.0,,2340.0,49.0,531329.0,18210.0,29178077.0
144,Cabo Verde,64184.0,414.0,63705.0,65.0,23.0,113064.0,729.0,401622.0,707482.0,567678.0
145,Sudan,63993.0,5046.0,58853.0,94.0,,1391.0,110.0,562941.0,12240.0,45992020.0
146,Mauritania,63715.0,997.0,62471.0,247.0,,12998.0,203.0,1009957.0,206030.0,4901981.0
147,Bhutan,62690.0,21.0,61564.0,1105.0,,79562.0,27.0,2303734.0,2923739.0,787941.0
148,Syria,57689.0,3165.0,54524.0,0.0,,2979.0,163.0,146269.0,7553.0,19364809.0
149,Burundi,54229.0,38.0,53569.0,622.0,,4295.0,3.0,345742.0,27386.0,12624840.0
150,Seychelles,50937.0,172.0,50750.0,15.0,,512311.0,1730.0,,,99426.0
151,Gabon,48992.0,307.0,48674.0,11.0,,21013.0,132.0,1621909.0,695641.0,2331533.0
152,Andorra,48015.0,165.0,47563.0,287.0,14.0,619844.0,2130.0,249838.0,3225256.0,77463.0
153,Papua New Guinea,46864.0,670.0,43982.0,2212.0,7.0,5043.0,72.0,249149.0,26813.0,9292169.0
154,Curaçao,45986.0,295.0,44720.0,971.0,3.0,277812.0,1782.0,496693.0,3000640.0,165529.0
155,Aruba,44224.0,292.0,42438.0,1494.0,2.0,410969.0,2714.0,177885.0,1653068.0,107609.0
156,Tanzania,43078.0,846.0,,,7.0,681.0,13.0,,,63298550.0
157,Mauritius,42762.0,1051.0,41034.0,677.0,,33546.0,824.0,358675.0,281374.0,1274727.0
158,Mayotte,42027.0,188.0,,,,146815.0,657.0,176919.0,618038.0,286259.0
159,Togo,39510.0,290.0,39216.0,4.0,,4551.0,33.0,812881.0,93641.0,8680837.0
160,Guinea,38563.0,468.0,37757.0,338.0,8.0,2781.0,34.0,660107.0,47607.0,13865691.0
161,Bahamas,38084.0,844.0,36366.0,874.0,1.0,95087.0,2107.0,257839.0,643767.0,400516.0
162,Isle of Man,38008.0,116.0,,,,443335.0,1353.0,150753.0,1758422.0,85732.0
163,Lesotho,34790.0,723.0,25980.0,8087.0,,15990.0,332.0,431221.0,198199.0,2175699.0
164,Faeroe Islands,34658.0,28.0,,,5.0,703959.0,569.0,778000.0,15802409.0,49233.0
165,Haiti,34306.0,860.0,33372.0,74.0,,2937.0,74.0,132422.0,11337.0,11680283.0
166,Mali,33151.0,743.0,32332.0,76.0,,1544.0,35.0,804909.0,37483.0,21473764.0
167,Cayman Islands,31472.0,37.0,8553.0,22882.0,1.0,467797.0,550.0,222773.0,3311280.0,67277.0
168,Saint Lucia,30052.0,409.0,29095.0,548.0,,162344.0,2209.0,210983.0,1139752.0,185113.0
169,Benin,28014.0,163.0,27847.0,4.0,,2191.0,13.0,604310.0,47268.0,12784726.0
170,Somalia,27334.0,1361.0,13182.0,12791.0,,1623.0,81.0,400466.0,23778.0,16841795.0
171,Micronesia,26472.0,65.0,,,1.0,225315.0,553.0,82430.0,701598.0,117489.0
172,Congo,25375.0,386.0,24006.0,983.0,,4377.0,67.0,347815.0,59991.0,5797805.0
173,Solomon Islands,24575.0,153.0,,,1.0,34077.0,212.0,,,721159.0
174,San Marino,24349.0,125.0,24219.0,5.0,4.0,714361.0,3667.0,196855.0,5775414.0,34085.0
175,Timor-Leste,23460.0,138.0,23102.0,220.0,,17131.0,101.0,278529.0,203391.0,1369429.0
176,Burkina Faso,22056.0,396.0,21596.0,64.0,,998.0,18.0,248995.0,11265.0,22102838.0
177,Liechtenstein,21473.0,94.0,21352.0,27.0,,559382.0,2449.0,112457.0,2929559.0,38387.0
178,Gibraltar,20550.0,113.0,16579.0,3858.0,,609720.0,3353.0,534283.0,15852213.0,33704.0
179,Grenada,19693.0,238.0,19358.0,97.0,4.0,173545.0,2097.0,182981.0,1612523.0,113475.0
180,Bermuda,18860.0,165.0,18685.0,10.0,,304493.0,2664.0,1029558.0,16622128.0,61939.0
181,Nicaragua,18491.0,225.0,4225.0,14041.0,,2728.0,33.0,,,6779100.0
182,South Sudan,18368.0,138.0,18115.0,115.0,1.0,1581.0,12.0,410280.0,35313.0,11618511.0
183,Tajikistan,17786.0,125.0,17264.0,397.0,,1786.0,13.0,,,9957464.0
184,Equatorial Guinea,17229.0,183.0,16907.0,139.0,5.0,11512.0,122.0,365697.0,244342.0,1496662.0
185,Monaco,16852.0,67.0,15992.0,793.0,4.0,423598.0,1684.0,78646.0,1976875.0,39783.0
186,Tonga,16819.0,13.0,15638.0,1168.0,,156094.0,121.0,535009.0,4965327.0,107749.0
187,Samoa,16775.0,31.0,1605.0,15139.0,,82946.0,153.0,187397.0,926612.0,202239.0
188,Marshall Islands,16098.0,17.0,16079.0,2.0,,268045.0,283.0,,,60057.0
189,Dominica,15760.0,74.0,15673.0,13.0,,217848.0,1023.0,229344.0,3170187.0,72344.0
190,Djibouti,15690.0,189.0,15427.0,74.0,,15441.0,186.0,305941.0,301094.0,1016097.0
191,CAR,15368.0,113.0,15200.0,55.0,2.0,3063.0,23.0,81294.0,16205.0,5016678.0
192,Macao,12984.0,123.0,3487.0,9374.0,,19452.0,184.0,7850.0,11760.0,667490.0
193,Gambia,12626.0,372.0,12189.0,65.0,,4935.0,145.0,155686.0,60851.0,2558482.0
194,Saint Martin,12324.0,63.0,1399.0,10862.0,7.0,310194.0,1586.0,112382.0,2828643.0,39730.0
195,Vanuatu,12019.0,14.0,11976.0,29.0,,37346.0,44.0,24976.0,77606.0,321832.0
196,Greenland,11971.0,21.0,2761.0,9189.0,4.0,210117.0,369.0,164926.0,2894810.0,56973.0
197,Yemen,11945.0,2159.0,9124.0,662.0,23.0,383.0,69.0,329592.0,10579.0,31154867.0
198,Caribbean Netherlands,11682.0,38.0,10476.0,1168.0,,438398.0,1426.0,30126.0,1130559.0,26647.0
199,Sint Maarten,11051.0,92.0,10905.0,54.0,,251353.0,2093.0,62056.0,1411454.0,43966.0
200,Eritrea,10189.0,103.0,10086.0,0.0,,2782.0,28.0,23693.0,6470.0,3662244.0
201,Niger,9931.0,312.0,8890.0,729.0,1.0,381.0,12.0,254538.0,9759.0,26083660.0
202,St. Vincent Grenadines,9631.0,124.0,9493.0,14.0,,86337.0,1112.0,114197.0,1023720.0,111551.0
203,Guinea-Bissau,9614.0,177.0,8929.0,508.0,6.0,4659.0,86.0,145231.0,70385.0,2063367.0
204,Comoros,9109.0,161.0,8939.0,9.0,,10038.0,177.0,,,907419.0
205,Antigua and Barbuda,9106.0,146.0,8954.0,6.0,1.0,91509.0,1467.0,18901.0,189943.0,99509.0
206,Liberia,8090.0,295.0,7783.0,12.0,2.0,1525.0,56.0,139824.0,26356.0,5305117.0
207,Sierra Leone,7762.0,126.0,,,,934.0,15.0,259958.0,31296.0,8306436.0
208,Chad,7701.0,194.0,4874.0,2633.0,,442.0,11.0,191341.0,10988.0,17413580.0
209,British Virgin Islands,7305.0,64.0,,,,238757.0,2092.0,107339.0,3508269.0,30596.0
210,Cook Islands,7151.0,2.0,7149.0,0.0,,406977.0,114.0,19690.0,1120596.0,17571.0
211,Turks and Caicos,6617.0,39.0,6559.0,19.0,4.0,166503.0,981.0,613574.0,15439320.0,39741.0
212,Saint Kitts and Nevis,6607.0,48.0,6559.0,0.0,,122645.0,891.0,126958.0,2356704.0,53871.0
213,Sao Tome and Principe,6589.0,80.0,6509.0,0.0,,28940.0,351.0,29036.0,127530.0,227679.0
214,Palau,6069.0,9.0,6023.0,37.0,,332858.0,494.0,70015.0,3840015.0,18233.0
215,St. Barth,5507.0,6.0,,,,553746.0,603.0,78646.0,7908095.0,9945.0
216,Nauru,5393.0,1.0,5347.0,45.0,,494635.0,92.0,20509.0,1881042.0,10903.0
217,Kiribati,5082.0,24.0,2703.0,2355.0,3.0,41177.0,194.0,,,123419.0
218,Anguilla,3904.0,12.0,3879.0,13.0,4.0,256336.0,788.0,51382.0,3373736.0,15230.0
219,Wallis and Futuna,3550.0,8.0,438.0,3104.0,,323256.0,728.0,20508.0,1867419.0,10982.0
220,Saint Pierre Miquelon,3452.0,2.0,2449.0,1001.0,1.0,599410.0,347.0,25400.0,4410488.0,5759.0
221,Tuvalu,2943.0,1.0,,2942.0,,243909.0,83.0,,,12066.0
222,Saint Helena,2166.0,,2.0,2164.0,,354211.0,,,,6115.0
223,Falkland Islands,1930.0,,1930.0,0.0,,545352.0,,8632.0,2439107.0,3539.0
224,Montserrat,1403.0,8.0,1376.0,19.0,,282578.0,1611.0,17762.0,3577442.0,4965.0
225,Niue,822.0,,822.0,0.0,,506782.0,,,,1622.0
226,Diamond Princess,712.0,13.0,699.0,0.0,,,,,,
227,Tokelau,80.0,,,80.0,,58055.0,,,,1378.0
228,Vatican City,29.0,,29.0,0.0,,36295.0,,,,799.0
229,Western Sahara,10.0,1.0,9.0,0.0,,16.0,2.0,,,626161.0
230,MS Zaandam,9.0,2.0,7.0,0.0,,,,,,
